2023-12-17 22:55:10 [root][INFO] 17985(Trluper-6) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 22:55:22 [root][INFO] 17986(Trluper-7) /home/project/Trluper/src/server.cc (in ctlCloseFd: 297): 客户端ip：172.18.126.67已断开链接

2023-12-17 22:55:36 [root][INFO] 17982(Trluper-3) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 22:56:02 [root][INFO] 17980(Trluper-1) /home/project/Trluper/src/server.cc (in ctlCloseFd: 297): 客户端ip：172.18.126.67已断开链接

2023-12-17 23:00:10 [root][INFO] 17981(Trluper-2) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 23:00:31 [root][INFO] 17984(Trluper-5) /home/project/Trluper/src/server.cc (in ctlCloseFd: 297): 客户端ip：172.18.126.67已断开链接

2023-12-17 23:00:42 [root][INFO] 17979(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 23:01:57 [root][INFO] 17986(Trluper-7) /home/project/Trluper/src/server.cc (in ctlCloseFd: 297): 客户端ip：172.18.126.67已断开链接

2023-12-17 23:02:40 [root][INFO] 17983(Trluper-4) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-17 23:03:08 [root][INFO] 17984(Trluper-5) /home/project/Trluper/src/server.cc (in ctlCloseFd: 297): 客户端ip：172.18.126.67已断开链接

2023-12-27 10:49:39 [root][INFO] 21605(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-27 10:50:11 [root][INFO] 21923(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.18.126.67

2023-12-27 10:51:27 [root][INFO] 21928(Trluper-5) /home/project/Trluper/src/server.cc (in ctlCloseFd: 297): 客户端ip：172.18.126.67已断开链接

2024-01-02 21:20:13 [root][INFO] 25085(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.20.25.130

2024-01-02 21:20:54 [root][INFO] 25415(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.20.25.130

2024-01-02 21:21:49 [root][INFO] 25420(Trluper-5) /home/project/Trluper/src/server.cc (in ctlCloseFd: 297): 客户端ip：172.20.25.130已断开链接

2024-01-02 21:22:46 [root][INFO] 26185(Trluper-1) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.20.25.130

2024-01-02 21:25:26 [root][INFO] 27243(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.20.25.130

2024-01-02 21:27:40 [root][INFO] 27947(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.20.25.130

2024-01-02 21:28:35 [root][INFO] 28304(Trluper-1) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.20.25.130

2024-01-02 21:29:16 [root][INFO] 28703(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.20.25.130

